Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M,pred_assists_per90,pred_clean_sheets_per90,pred_goals_against_per90,pred_goals_per90,pred_minutes,pred_tackles_won_per90
4973,C,C;T,McKennie,Juventus,17,17,0,17,17,0,70,70,0.07993493408748978,,,0.0846033527672683,,
2517,C,T,De Bruyne,Napoli,17,15,2,16,14,2,108,108,0.1687930029748302,,,0.2185772682569529,,
632,C,W;A,Zaccagni,Lazio,16,16,0,15,15,0,87,84,0.0974456438343776,,,0.11881268938121044,,
6908,C,C;T,Atta,Fiorentina,15,17,-2,15,17,-2,78,78,0.08140275379250708,,,0.09247126294594062,,
5119,C,C;T,Samardzic,Atalanta,13,12,1,13,12,1,44,44,0.0926952768901461,,,0.13800085034025342,,
6884,C,W;A,Conceicao,Juventus,13,12,1,12,11,1,68,68,0.10338517804483051,,,0.1374029494116181,,
7314,C,C;T,Taylor K.,Lazio,13,13,0,13,13,0,53,53,0.0774649040675477,,,0.04703698510794263,,
5687,C,T,Vlasic,Torino,13,14,-1,12,13,-1,73,73,0.08806291091598963,,,0.08256999892231666,,
5792,C,M;C,Ederson D.S.,Atalanta,12,12,0,13,13,0,46,51,0.08432297909044122,,,0.06421541220165397,,
5800,C,T;A,Gudmundsson A.,Lazio,12,13,-1,11,12,-1,40,40,0.0708383980746332,,,0.05363829556852579,,
152,C,C,Zielinski,Inter,12,10,2,12,10,2,45,45,0.1179558902331873,,,0.06876867557483676,,
2606,C,M;C,Modric,Milan,12,12,0,13,13,0,45,50,0.10300432973982472,,,0.06458302983082831,,
6684,C,C;T,Ekkelenkamp,Udinese,12,10,2,12,10,2,57,57,0.09695723915374593,,,0.09248091404571344,,
5172,C,C,Jones C.,Inter,12,12,0,12,12,0,47,47,0.0942971090541074,,,0.1253837345579737,,
4179,C,W;A,Gonzalez N.,Juventus,12,11,1,11,10,1,45,45,0.02141582873429319,,,0.020307761935370143,,
1850,C,C,Kessiè,Atalanta,12,12,0,12,12,0,47,47,0.06637599800321224,,,0.07412538831367305,,
7625,C,W;T,Goncalves P.,Fiorentina,12,12,0,12,12,0,50,50,0.04206840538321749,,,0.05272269328271872,,
7129,C,W;A,Rodriguez Je.,Como,11,12,-1,10,11,-1,31,31,0.09716376826559242,,,0.13291069257024088,,
