id,player,team,role,mantra_role,manager,mln
7048,De Marzi,Roma,P,Por,Varro,7
4870,Adopo,Cagliari,C,M;C,Varro,5
4431,Carnesecchi,Atalanta,P,Por,Gianluca,1
6966,Butez,Como,P,Por,Gianluca,20
6646,Adams C.,Torino,A,A,Gianluca,50
