Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,FVM,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,xAG,npxG,npxG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,Cmp,Att,Cmp%,PrgP,KP,PPA,PrgC,PrgR,SCA,SCA90,GCA,GCA90,Tkl,Int,Blocks,Tkl+Int,Clr,Err,Touches,Carries,Mis,Dis,CrdY,CrdR,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,PlayerScore,Score
6641,P,suzuki,Parma,7,7,0,14,zion suzuki,jp JPN,GK,Parma,21.0,2002.0,37,37,3314,36.8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,1008,1496,67.4,0,0,1,0,0,9,0.24,1,0.03,1,0,1,1,35,4,1605,953,1,0,2,1,36.0,36.0,3240.0,36.8,53.0,1.47,150.0,99.0,68.0,7.0,15.0,15.0,7.0,19.4,5.0,0.0,0.0,51.4,0.32,0.4,0.01,3.2502463434955207,9.752469635627529
4957,P,montipo,Verona,4,5,-1,10,lorenzo montipo,it ITA,GK,Hellas Verona,28.0,1996.0,36,36,3240,36.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,520,1068,48.7,1,0,0,0,0,5,0.14,0,0.0,1,0,1,1,24,4,1170,508,1,0,0,0,36.0,36.0,3240.0,36.0,64.0,1.78,161.0,97.0,61.5,9.0,7.0,20.0,8.0,22.2,2.0,1.0,1.0,50.8,0.31,-12.2,-0.34,2.202271921821791,9.670526315789473
6125,P,vasquez,Roma,1,1,0,1,devis vasquez,co COL,GK,Empoli,26.0,1998.0,32,32,2880,32.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,667,1105,60.4,0,0,1,0,0,6,0.19,0,0.0,0,0,1,0,21,4,1183,701,2,0,2,0,32.0,32.0,2880.0,32.0,45.0,1.41,125.0,79.0,64.8,6.0,12.0,14.0,6.0,18.8,1.0,1.0,1.0,40.2,0.31,-4.8,-0.15,4.887334804512275,9.356194331983806
6462,P,okoye,Udinese,5,6,-1,15,maduka okoye,ng NGA,GK,Udinese,24.0,1999.0,25,25,2250,25.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,681,878,77.6,1,0,0,0,0,1,0.04,0,0.0,0,0,3,0,12,1,940,589,0,0,1,0,25.0,25.0,2250.0,25.0,40.0,1.6,110.0,73.0,67.3,6.0,4.0,15.0,4.0,16.0,4.0,0.0,1.0,37.0,0.32,0.0,0.0,3.340175702320184,9.053036437246964
2814,P,provedel,Lazio,12,12,0,55,ivan provedel,it ITA,GK,Lazio,30.0,1994.0,29,29,2610,29.0,0,0,0,0,0,0,0.0,0.3,0.0,0.3,0,0,,0.0,0.0,865,1118,77.4,4,3,2,0,0,13,0.45,0,0.0,0,1,1,1,12,3,1167,744,0,0,0,0,29.0,29.0,2610.0,29.0,42.0,1.45,92.0,52.0,58.7,15.0,6.0,8.0,5.0,17.2,4.0,0.0,0.0,31.5,0.32,-8.5,-0.29,4.06657315858084,8.627368421052632
610,P,gollini,Roma,1,1,0,1,pierluigi gollini,it ITA,GK,Genoa,29.0,1995.0,7,7,630,7.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,206,250,82.4,0,0,0,0,0,4,0.57,0,0.0,0,0,0,0,2,1,269,131,0,0,1,0,7.0,7.0,630.0,7.0,15.0,2.14,32.0,16.0,62.5,1.0,2.0,4.0,1.0,14.3,3.0,1.0,0.0,12.2,0.29,-2.8,-0.39,4.320364589424065,8.233927125506074
574,P,scuffet,Pisa,3,3,0,3,simone scuffet,it ITA,GK,Cagliari,28.0,1996.0,13,13,1170,13.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,286,407,70.3,0,0,0,0,0,2,0.15,0,0.0,0,0,0,0,8,2,442,201,0,0,0,0,13.0,13.0,1170.0,13.0,23.0,1.77,56.0,33.0,67.9,3.0,3.0,7.0,1.0,7.7,5.0,0.0,0.0,20.4,0.28,-2.6,-0.2,2.6908584122131605,7.697732793522269
4236,P,muric,Sassuolo,3,3,0,7,arijanet muric,xk KVX,GK,Ipswich Town,25.0,1998.0,18,18,1620,18.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,454,633,71.7,1,0,0,0,0,1,0.06,0,0.0,0,0,0,0,10,5,689,405,3,1,1,0,18.0,18.0,1620.0,18.0,33.0,1.83,100.0,67.0,70.0,2.0,6.0,10.0,1.0,5.6,3.0,0.0,0.0,31.4,0.29,-1.6,-0.09,2.5187231913746873,7.586801619433199
6991,P,siegrist,Genoa,1,1,0,1,benjamin siegrist,ch SUI,GK,Genoa,32.0,1992.0,2,2,152,1.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,48,73,65.8,0,0,0,0,0,0,0.0,0,0.0,0,1,0,1,1,0,79,56,0,0,0,0,2.0,2.0,152.0,1.7,2.0,1.18,12.0,10.0,83.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.2,0.4,0.23,2.5919752137554077,7.5802834008097175
4867,P,turati,Sassuolo,6,7,-1,7,stefano turati,it ITA,GK,Monza,22.0,2001.0,30,30,2676,29.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,764,1077,70.9,0,0,0,0,0,5,0.17,1,0.03,0,0,1,0,21,2,1166,720,0,0,1,0,30.0,30.0,2676.0,29.7,52.0,1.75,145.0,93.0,65.5,2.0,7.0,21.0,2.0,6.7,2.0,2.0,0.0,47.4,0.31,-2.6,-0.09,2.5038527825003465,7.532914979757087
