Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,FVM,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,xAG,npxG,npxG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,Cmp,Att,Cmp%,PrgP,KP,PPA,PrgC,PrgR,SCA,SCA90,GCA,GCA90,Tkl,Int,Blocks,Tkl+Int,Clr,Err,Touches,Carries,Mis,Dis,CrdY,CrdR,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,PlayerScore,Score
1933,C,mandragora,Fiorentina,15,14,1,30,rolando mandragora,it ITA,MF,Fiorentina,27.0,1997.0,28,22,1856,20.6,4,2,6,3,1,1,2.7,4.8,1.9,6.6,37,14,37.8,1.79,0.68,724,931,77.8,92,31,16,11,34,56,2.61,5,0.23,23,15,17,38,54,1,1119,580,11,4,7,0,,,,,,,,,,,,,,,,,,,,,,35.336104358695685,36.964980544747085
5823,C,baldanzi,Roma,7,8,-1,16,tommaso baldanzi,it ITA,"MF,FW",Roma,21.0,2003.0,31,5,832,9.2,1,1,2,1,0,0,1.4,1.0,1.4,2.4,20,4,20.0,2.16,0.43,305,363,84.0,23,10,6,39,57,36,3.89,4,0.43,12,6,14,18,8,0,472,292,16,9,2,0,,,,,,,,,,,,,,,,,,,,,,35.146114895229246,36.57587548638133
4896,C,maldini,Atalanta,8,9,-1,24,daniel maldini,it ITA,"MF,FW",Monza,22.0,2001.0,20,16,1306,14.5,3,0,3,3,0,0,4.8,0.9,4.8,5.7,39,13,33.3,2.69,0.9,261,382,68.3,34,12,8,41,66,40,2.75,5,0.34,14,4,14,18,12,2,584,388,36,31,5,0,,,,,,,,,,,,,,,,,,,,,,35.903860353596116,36.18677042801557
6106,C,carboni,Genoa,11,11,0,29,andrea carboni,it ITA,DF,Monza,23.0,2001.0,26,25,2191,24.3,0,1,1,0,0,0,0.3,0.3,0.3,0.6,8,1,12.5,0.33,0.04,989,1157,85.5,51,4,3,9,32,11,0.45,2,0.08,60,27,16,87,106,4,1412,822,15,5,5,0,,,,,,,,,,,,,,,,,,,,,,29.23348792446882,35.7976653696498
6684,C,ekkelenkamp,Udinese,10,10,0,21,jurgen ekkelenkamp,nl NED,MF,Udinese,24.0,2000.0,34,20,1892,21.0,3,2,5,3,0,0,2.8,1.3,2.8,4.1,27,9,33.3,1.28,0.43,550,690,79.7,72,15,11,34,86,38,1.81,6,0.29,36,12,17,48,26,0,868,457,23,7,2,0,,,,,,,,,,,,,,,,,,,,,,31.345219428151072,35.7976653696498
2839,C,sottil,Lecce,10,11,-1,22,riccardo sottil,it ITA,"FW,MF",Fiorentina,25.0,1999.0,18,8,833,9.3,1,1,2,1,0,0,0.9,0.9,0.9,1.7,22,6,27.3,2.38,0.65,196,278,70.5,18,12,12,71,100,35,3.78,4,0.43,5,4,8,9,3,0,356,272,21,8,1,0,,,,,,,,,,,,,,,,,,,,,,28.342998736169072,35.7976653696498
4423,C,hernani,Parma,6,7,-1,18,hernani,br BRA,MF,Parma,30.0,1994.0,25,15,1327,14.7,3,3,6,0,3,3,2.8,1.5,0.5,2.0,17,3,17.6,1.15,0.2,463,615,75.3,78,25,14,29,40,43,2.92,5,0.34,47,19,20,66,12,1,782,419,23,12,7,0,,,,,,,,,,,,,,,,,,,,,,30.40052655012873,35.40856031128405
5998,C,zerbin,Cremonese,5,3,2,28,alessio zerbin,it ITA,DF,Venezia,25.0,1999.0,18,17,1518,16.9,1,1,2,1,0,0,1.9,2.1,1.9,3.9,16,6,37.5,0.95,0.36,400,612,65.4,54,24,21,53,70,42,2.49,2,0.12,51,15,26,66,25,1,864,383,37,19,4,0,,,,,,,,,,,,,,,,,,,,,,29.4939974944621,35.019455252918284
6917,C,masini,Genoa,6,5,1,14,patrizio masini,it ITA,MF,Genoa,23.0,2001.0,26,16,1538,17.1,1,0,1,1,0,0,0.4,0.2,0.4,0.6,8,1,12.5,0.47,0.06,499,649,76.9,44,6,4,16,27,24,1.4,3,0.18,54,15,24,69,37,0,878,391,25,12,3,0,,,,,,,,,,,,,,,,,,,,,,28.59797731741514,35.019455252918284
6394,C,ramadani,Lecce,7,6,1,11,ylber ramadani,al ALB,MF,Lecce,28.0,1996.0,29,21,1807,20.1,1,1,2,1,0,0,0.6,1.1,0.6,1.7,17,6,35.3,0.85,0.3,696,848,82.1,60,16,4,9,7,35,1.74,4,0.2,51,24,10,75,26,3,1038,537,21,22,4,0,,,,,,,,,,,,,,,,,,,,,,27.41877051651138,34.630350194552534
