Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,FVM,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,xAG,npxG,npxG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,Cmp,Att,Cmp%,PrgP,KP,PPA,PrgC,PrgR,SCA,SCA90,GCA,GCA90,Tkl,Int,Blocks,Tkl+Int,Clr,Err,Touches,Carries,Mis,Dis,CrdY,CrdR,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,PlayerScore,Score
5637,A,davis,Udinese,13,12,1,50,keinan davis,eng ENG,FW,Udinese,26.0,1998.0,23,10,1066,11.8,2,1,3,2,0,0,2.9,2.1,2.9,5.0,29,11,37.9,2.45,0.93,208,275,75.6,22,20,8,26,77,35,2.95,2,0.17,9,1,1,10,5,0,404,231,33,25,2,0,,,,,,,,,,,,,,,,,,,,,,18.759106566512905,23.59550561797753
6643,A,dallinga,Bologna,10,10,0,13,thijs dallinga,nl NED,FW,Bologna,23.0,2000.0,31,11,1154,12.8,3,2,5,3,0,0,4.3,0.6,4.3,4.9,31,11,35.5,2.42,0.86,210,293,71.7,17,12,4,9,84,27,2.11,5,0.39,10,1,13,11,13,1,439,243,42,22,1,0,,,,,,,,,,,,,,,,,,,,,,20.368538510424358,23.033707865168545
6552,A,orban,Verona,15,15,0,46,gift orban,ng NGA,"FW,DF",Lyon,22.0,2002.0,3,2,186,2.1,2,0,2,2,0,0,1.2,0.0,1.2,1.2,4,3,75.0,1.94,1.45,22,33,66.7,2,1,1,1,12,2,0.97,0,0.0,0,0,4,0,0,0,49,26,6,0,1,0,,,,,,,,,,,,,,,,,,,,,,15.480131058112315,23.033707865168545
4436,A,cambiaghi,Bologna,11,11,0,25,nicolo cambiaghi,it ITA,FW,Bologna,23.0,2000.0,18,4,620,6.9,1,3,4,1,0,0,0.8,1.9,0.8,2.7,14,4,28.6,2.03,0.58,177,245,72.2,25,12,11,45,63,30,4.36,8,1.16,16,2,6,18,2,0,334,241,16,11,0,0,,,,,,,,,,,,,,,,,,,,,,19.87174488821889,22.471910112359552
7017,A,douvikas,Como,9,8,1,30,anastasios douvikas,gr GRE,FW,Como,24.0,1999.0,13,6,580,6.4,2,2,4,2,0,0,2.5,1.1,2.5,3.7,14,5,35.7,2.17,0.78,81,106,76.4,6,9,1,8,36,19,2.95,1,0.16,3,1,4,4,3,0,182,113,25,12,1,0,,,,,,,,,,,,,,,,,,,,,,18.372216047127104,21.910112359550567
6365,A,ferguson,Roma,19,19,0,162,evan ferguson,ie IRL,FW,West Ham,19.0,2004.0,8,1,156,1.7,0,0,0,0,0,0,0.6,0.3,0.6,0.9,5,1,20.0,2.88,0.58,28,37,75.7,1,2,0,1,7,4,2.31,0,0.0,3,1,0,4,1,0,66,31,8,5,0,0,,,,,,,,,,,,,,,,,,,,,,19.90650209486067,21.348314606741575
5672,A,dia,Lazio,21,20,1,102,benoit badiashile,fr FRA,DF,Chelsea,23.0,2001.0,5,3,334,3.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,273,304,89.8,17,0,1,3,2,0,0.0,0,0.0,9,6,0,15,12,2,336,177,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,18.36801154632366,20.224719101123597
441,A,belotti,Cagliari,12,12,0,22,andrea belotti,it ITA,FW,Como,30.0,1993.0,18,7,593,6.6,2,0,2,2,0,0,2.5,0.4,2.5,2.8,19,3,15.8,2.88,0.46,90,120,75.0,9,7,1,9,33,14,2.13,0,0.0,7,1,6,8,8,0,185,106,10,10,1,0,,,,,,,,,,,,,,,,,,,,,,14.720212131080535,19.66292134831461
479,A,sanabria,Cremonese,8,7,1,35,antonio sanabria,py PAR,FW,Torino,28.0,1996.0,26,16,1318,14.6,2,1,3,2,0,1,2.9,0.5,2.1,2.6,18,4,22.2,1.23,0.27,210,268,78.4,18,9,3,6,54,21,1.44,3,0.21,3,1,2,4,13,0,377,227,32,23,2,0,,,,,,,,,,,,,,,,,,,,,,13.497212033739975,17.97752808988764
6556,A,noslin,Lazio,6,7,-1,9,tijjani noslin,nl NED,"FW,MF",Lazio,25.0,1999.0,30,8,861,9.6,2,2,4,2,0,0,2.0,1.6,2.0,3.6,19,6,31.6,1.99,0.63,186,248,75.0,16,12,11,13,56,27,2.82,4,0.42,6,1,9,7,7,0,347,194,24,13,2,0,,,,,,,,,,,,,,,,,,,,,,14.286231202696179,15.730337078651688
