Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,FVM,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,xAG,npxG,npxG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,Cmp,Att,Cmp%,PrgP,KP,PPA,PrgC,PrgR,SCA,SCA90,GCA,GCA90,Tkl,Int,Blocks,Tkl+Int,Clr,Err,Touches,Carries,Mis,Dis,CrdY,CrdR,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,PlayerScore,Score
5481,D,mazzocchi,Napoli,3,3,0,5,pasquale mazzocchi,it ITA,"DF,FW",Napoli,29.0,1995.0,20,7,702,7.8,0,0,0,0,0,0,0.3,0.4,0.3,0.6,3,1,33.3,0.38,0.13,244,304,80.3,23,5,8,20,43,18,2.3,0,0.0,15,5,6,20,25,0,385,206,13,11,3,0,,,,,,,,,,,,,,,,,,,,,,40.30679863300996,33.165829145728644
6956,D,solet,Udinese,11,11,0,40,oumar solet,fr FRA,DF,Udinese,24.0,2000.0,19,19,1672,18.6,1,2,3,1,0,0,0.8,1.2,0.8,2.0,12,7,58.3,0.65,0.38,982,1110,88.5,65,17,9,20,6,33,1.78,3,0.16,33,17,8,50,78,4,1325,806,17,11,3,1,,,,,,,,,,,,,,,,,,,,,,32.15177132687361,33.165829145728644
6217,D,bisseck,Inter,8,9,-1,20,yann aurel bisseck,de GER,DF,Inter,23.0,2000.0,26,16,1553,17.3,3,2,5,3,0,0,2.6,0.9,2.6,3.4,21,5,23.8,1.22,0.29,1179,1284,91.8,93,7,7,32,44,20,1.1,4,0.22,17,17,16,34,64,1,1465,998,16,7,4,0,,,,,,,,,,,,,,,,,,,,,,39.36199374897901,32.663316582914575
6230,D,dossena,Como,4,4,0,11,alberto dossena,it ITA,DF,Como,25.0,1998.0,23,20,1825,20.3,0,2,2,0,0,0,0.8,0.7,0.8,1.5,12,3,25.0,0.59,0.15,894,1020,87.6,36,5,1,4,1,11,0.54,2,0.1,33,22,8,55,89,1,1220,693,8,3,1,1,,,,,,,,,,,,,,,,,,,,,,33.19179824594743,32.663316582914575
4374,D,walukiewicz,Sassuolo,5,5,0,11,sebastian walukiewicz,pl POL,DF,Torino,24.0,2000.0,29,20,1661,18.5,0,0,0,0,0,0,0.4,0.3,0.4,0.7,6,1,16.7,0.33,0.05,761,938,81.1,80,4,14,25,31,16,0.87,1,0.05,38,18,13,56,60,0,1119,557,9,5,6,0,,,,,,,,,,,,,,,,,,,,,,29.390146148293507,31.658291457286435
4401,D,gabbia,Milan,7,6,1,16,matteo gabbia,it ITA,DF,Milan,24.0,1999.0,26,24,2152,23.9,2,0,2,2,0,0,1.1,0.2,1.1,1.3,14,4,28.6,0.59,0.17,1316,1443,91.2,74,2,3,13,2,22,0.92,3,0.13,21,15,6,36,103,1,1635,1023,5,1,4,0,,,,,,,,,,,,,,,,,,,,,,36.26930988225698,31.658291457286435
5812,D,terracciano,Cremonese,5,2,3,13,filippo terracciano,it ITA,"DF,MF",Milan,21.0,2003.0,13,6,539,6.0,0,0,0,0,0,0,0.2,0.1,0.2,0.3,3,1,33.3,0.5,0.17,226,257,87.9,14,2,1,5,9,4,0.67,0,0.0,9,6,2,15,11,0,303,162,1,5,3,0,,,,,,,,,,,,,,,,,,,,,,29.038764738433382,31.658291457286435
6042,D,lucumi,Bologna,8,8,0,21,jhon lucumi,co COL,DF,Bologna,26.0,1998.0,32,29,2614,29.0,0,1,1,0,0,0,0.6,0.4,0.6,1.0,13,2,15.4,0.45,0.07,1859,2040,91.1,108,8,0,34,7,34,1.17,2,0.07,53,26,7,79,88,7,2294,1464,13,4,8,1,,,,,,,,,,,,,,,,,,,,,,33.22166178740354,31.155778894472363
49,D,masina,Torino,2,3,-1,8,adam masina,ma MAR,DF,Torino,30.0,1994.0,28,20,1919,21.3,1,2,3,1,0,0,0.7,0.3,0.7,1.0,8,2,25.0,0.38,0.09,1066,1267,84.1,73,4,6,15,10,21,0.98,4,0.19,33,27,4,60,95,2,1502,853,12,8,5,0,,,,,,,,,,,,,,,,,,,,,,32.151678245705426,31.155778894472363
5831,D,gatti,Juventus,8,8,0,13,federico gatti,it ITA,DF,Juventus,26.0,1998.0,30,26,2195,24.4,1,0,1,1,0,0,2.5,0.5,2.5,2.9,25,9,36.0,1.03,0.37,1387,1460,95.0,73,6,3,24,6,26,1.07,2,0.08,28,18,6,46,76,2,1687,1165,12,8,2,0,,,,,,,,,,,,,,,,,,,,,,35.54610023259433,30.65326633165829
