team,season,wins,loss,draws,goals,goals_per90,goals_against,goals_against_per90,goals_fh,goals_sh,goals_against_fh,goals_against_sh,ts_goals,ts_goals_against
Hellas Verona,2023-24,9,18,11,38,1.0,51,1.3421052631578947,15,23,24,27,"[1, 2, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 2, 3, 1, 0, 2, 0, 1, 2, 1, 1, 1, 0, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 2, 1, 2, 2]","[0, 1, 3, 0, 1, 1, 0, 2, 3, 1, 3, 1, 2, 3, 1, 1, 0, 1, 2, 1, 2, 1, 2, 0, 2, 2, 0, 0, 3, 1, 2, 2, 0, 1, 1, 2, 1, 2]"
Juventus,2023-24,19,5,14,54,1.4210526315789473,31,0.8157894736842105,21,33,18,13,"[3, 1, 2, 3, 2, 1, 0, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 3, 3, 1, 0, 0, 2, 3, 1, 2, 0, 0, 1, 0, 2, 0, 1, 1, 3, 2]","[0, 1, 0, 1, 4, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 2, 2, 2, 2, 0, 1, 0, 0, 2, 0, 1, 1, 3, 0]"
Lazio,2023-24,18,13,7,49,1.2894736842105263,39,1.0263157894736843,22,27,13,26,"[1, 0, 2, 1, 1, 2, 0, 3, 2, 1, 0, 0, 1, 1, 1, 0, 2, 3, 2, 1, 0, 1, 3, 1, 2, 1, 0, 1, 3, 1, 0, 4, 1, 1, 2, 2, 1, 1]","[2, 1, 1, 3, 1, 0, 2, 2, 0, 0, 1, 0, 2, 0, 1, 2, 0, 1, 1, 0, 0, 3, 1, 2, 0, 2, 1, 2, 2, 0, 1, 1, 0, 0, 2, 0, 1, 1]"
Napoli,2023-24,13,11,14,55,1.4473684210526316,48,1.263157894736842,19,36,20,28,"[3, 2, 1, 2, 0, 4, 4, 1, 3, 2, 2, 0, 2, 0, 0, 2, 0, 0, 0, 2, 0, 2, 0, 1, 1, 6, 2, 1, 1, 0, 4, 2, 0, 2, 1, 0, 2, 0]","[1, 0, 2, 2, 0, 1, 0, 3, 1, 2, 0, 1, 1, 3, 1, 1, 2, 0, 3, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 1, 2, 1, 2, 2, 0]"
Torino,2023-24,13,11,14,36,0.9473684210526315,36,0.9473684210526315,15,21,9,27,"[0, 1, 1, 3, 1, 0, 0, 0, 0, 1, 2, 1, 0, 3, 0, 1, 1, 0, 3, 0, 2, 0, 1, 2, 0, 2, 0, 1, 2, 1, 2, 0, 0, 0, 0, 2, 3, 0]","[0, 4, 0, 0, 1, 2, 0, 2, 3, 0, 1, 1, 2, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 2, 3, 0, 1, 0, 0, 3, 0, 0, 2, 0, 1, 1, 3]"
Lecce,2023-24,8,16,14,32,0.8421052631578947,54,1.4210526315789473,10,22,21,33,"[2, 2, 2, 1, 1, 0, 0, 1, 1, 0, 1, 2, 2, 1, 1, 2, 0, 0, 1, 0, 0, 1, 3, 0, 0, 0, 1, 0, 1, 0, 0, 1, 3, 1, 1, 0, 0, 0]","[1, 2, 0, 1, 0, 1, 4, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 1, 1, 3, 2, 2, 4, 2, 4, 1, 1, 0, 0, 3, 0, 0, 1, 1, 2, 2, 0]"
Salernitana,2023-24,2,25,11,32,0.8421052631578947,81,2.1315789473684212,12,20,40,41,"[2, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 2, 2, 0, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 2, 0, 0, 2, 1, 0, 0, 1, 1, 1, 3]","[2, 1, 2, 3, 1, 1, 4, 3, 2, 1, 2, 2, 1, 3, 2, 4, 2, 0, 2, 2, 2, 2, 0, 3, 4, 2, 1, 4, 1, 3, 2, 4, 2, 3, 2, 1, 2, 3]"
Sassuolo,2023-24,7,22,9,43,1.131578947368421,75,1.9736842105263157,26,17,28,47,"[0, 0, 3, 2, 4, 2, 0, 1, 0, 1, 1, 2, 4, 1, 1, 2, 1, 0, 1, 0, 0, 2, 1, 0, 2, 1, 0, 1, 0, 1, 2, 3, 0, 1, 1, 1, 0, 1]","[2, 2, 1, 4, 2, 1, 1, 1, 2, 1, 2, 2, 3, 2, 2, 2, 2, 1, 0, 3, 1, 4, 1, 3, 3, 6, 1, 0, 1, 1, 2, 3, 3, 5, 0, 2, 2, 1]"
Udinese,2023-24,6,13,19,37,0.9736842105263158,53,1.394736842105263,16,21,24,29,"[0, 1, 0, 0, 0, 1, 2, 0, 1, 1, 1, 1, 1, 3, 0, 2, 1, 3, 1, 2, 2, 0, 0, 1, 1, 0, 1, 2, 0, 1, 1, 0, 1, 1, 1, 2, 1, 1]","[3, 1, 0, 0, 2, 4, 2, 0, 1, 1, 0, 1, 3, 3, 4, 2, 1, 0, 2, 2, 3, 2, 0, 0, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 0, 1, 0]"
Milan,2024-25,17,11,9,59,1.5945945945945945,43,1.162162162162162,25,34,19,24,"[2, 1, 2, 4, 2, 3, 1, 1, 0, 1, 3, 0, 3, 1, 0, 1, 1, 1, 2, 0, 3, 1, 2, 1, 1, 1, 1, 3, 2, 1, 2, 4, 0, 2, 2, 3, 1]","[2, 2, 2, 0, 1, 0, 2, 0, 2, 0, 3, 0, 0, 2, 0, 0, 1, 1, 1, 2, 2, 1, 0, 0, 2, 2, 2, 2, 1, 2, 2, 0, 1, 0, 1, 1, 3]"
