team,season,wins,loss,draws,goals,goals_per90,goals_against,goals_against_per90,goals_fh,goals_sh,goals_against_fh,goals_against_sh,ts_goals,ts_goals_against
Inter,2025-26,27,5,6,89,2.3421052631578947,35,0.9210526315789473,37,52,16,19,"[5, 1, 3, 2, 2, 4, 1, 1, 3, 2, 2, 0, 2, 4, 2, 1, 3, 2, 2, 1, 1, 6, 2, 5, 3, 2, 2, 0, 1, 1, 5, 4, 3, 2, 2, 3, 1, 3]","[0, 2, 4, 1, 0, 1, 0, 3, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 1, 1, 1, 2, 3, 0, 2, 0, 0, 1, 3]"
Genoa,2025-26,10,17,11,41,1.0789473684210527,51,1.3421052631578947,16,25,23,28,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 2, 2, 3, 2, 2, 1, 0, 1, 1, 1, 3, 0, 3, 2, 2, 0, 3, 0, 2, 2, 0, 0, 2, 2, 0, 0, 0, 1, 0]","[0, 1, 1, 2, 3, 2, 0, 2, 2, 1, 2, 3, 1, 1, 2, 1, 3, 1, 1, 0, 0, 2, 3, 3, 0, 0, 2, 1, 0, 2, 2, 1, 1, 2, 0, 0, 2, 1]"
Hellas Verona,2025-26,3,23,12,25,0.6578947368421053,61,1.605263157894737,15,10,24,37,"[1, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 1, 1, 3, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]","[1, 4, 0, 1, 2, 1, 0, 2, 3, 2, 0, 2, 2, 1, 1, 3, 3, 2, 1, 3, 0, 3, 4, 0, 2, 3, 2, 1, 2, 1, 1, 2, 1, 0, 1, 1, 1, 2]"
Juventus,2025-26,19,7,12,61,1.605263157894737,34,0.8947368421052632,24,37,15,19,"[2, 1, 4, 1, 1, 0, 0, 0, 3, 2, 0, 1, 2, 1, 1, 2, 2, 1, 3, 5, 0, 3, 4, 2, 2, 0, 3, 4, 1, 1, 2, 1, 2, 0, 1, 1, 0, 2]","[0, 0, 3, 1, 1, 0, 2, 1, 1, 1, 0, 1, 1, 2, 0, 1, 0, 1, 0, 0, 1, 0, 1, 2, 3, 2, 3, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 2]"
Parma,2025-26,11,15,12,28,0.7368421052631579,46,1.2105263157894737,10,18,17,29,"[0, 1, 0, 0, 2, 0, 0, 0, 1, 1, 2, 2, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 1, 1, 2, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 2, 0, 1]","[2, 1, 2, 0, 1, 1, 0, 0, 2, 3, 2, 1, 2, 0, 1, 0, 1, 2, 1, 0, 0, 4, 4, 0, 1, 0, 1, 0, 4, 2, 1, 1, 0, 0, 2, 3, 1, 0]"
Lazio,2025-26,14,12,12,41,1.0789473684210527,40,1.0526315789473684,16,25,19,21,"[0, 4, 0, 0, 3, 3, 0, 1, 0, 2, 0, 2, 0, 1, 1, 0, 1, 0, 2, 1, 0, 0, 3, 2, 0, 0, 0, 2, 1, 2, 1, 0, 2, 3, 2, 0, 0, 2]","[2, 0, 1, 1, 0, 3, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 1, 2, 2, 0, 3, 0, 2, 2, 2, 0, 2, 1, 0, 0, 1, 1, 0, 3, 1, 3, 2, 1]"
Napoli,2025-26,23,8,7,58,1.5263157894736843,36,0.9473684210526315,31,27,15,21,"[2, 1, 3, 3, 1, 2, 0, 3, 1, 0, 0, 3, 1, 2, 0, 2, 2, 2, 2, 0, 1, 0, 2, 3, 2, 1, 2, 2, 2, 1, 1, 1, 0, 4, 0, 2, 3, 1]","[0, 0, 1, 2, 2, 1, 1, 1, 0, 0, 2, 1, 0, 1, 1, 0, 0, 2, 2, 0, 0, 3, 1, 2, 2, 2, 1, 1, 1, 0, 0, 1, 2, 0, 0, 3, 0, 0]"
Torino,2025-26,12,17,9,44,1.1578947368421053,63,1.6578947368421053,17,27,31,32,"[0, 0, 1, 0, 1, 3, 1, 2, 0, 2, 0, 1, 1, 2, 1, 1, 1, 3, 1, 0, 0, 0, 1, 2, 1, 0, 2, 1, 4, 2, 1, 2, 0, 2, 0, 2, 1, 2]","[5, 0, 0, 3, 2, 3, 0, 1, 0, 2, 0, 5, 2, 3, 0, 0, 2, 0, 2, 2, 2, 6, 0, 2, 2, 3, 0, 2, 1, 3, 0, 1, 0, 2, 2, 1, 2, 2]"
Cremonese,2025-26,8,20,10,32,0.8421052631578947,57,1.5,12,20,28,29,"[2, 3, 0, 0, 1, 1, 1, 1, 2, 1, 0, 1, 3, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 1, 0, 0, 0, 1, 3, 1, 1]","[1, 2, 0, 0, 1, 4, 1, 1, 0, 2, 1, 3, 1, 0, 1, 0, 2, 1, 2, 5, 0, 1, 2, 2, 0, 3, 2, 2, 4, 0, 2, 1, 0, 4, 2, 0, 0, 4]"
Lecce,2025-26,10,20,8,28,0.7368421052631579,50,1.3157894736842106,16,12,18,32,"[0, 0, 1, 1, 2, 1, 0, 2, 0, 1, 0, 0, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 2, 2, 0, 1, 2, 1, 0, 0, 0, 1, 0, 2, 0, 3, 1]","[0, 2, 4, 2, 2, 0, 0, 3, 1, 0, 0, 2, 1, 2, 0, 3, 1, 2, 2, 1, 1, 0, 1, 1, 0, 2, 3, 1, 2, 1, 3, 2, 1, 0, 1, 1, 2, 0]"
Sassuolo,2025-26,14,17,7,46,1.2105263157894737,50,1.3157894736842106,19,27,24,26,"[0, 2, 1, 1, 3, 1, 0, 0, 2, 1, 3, 2, 0, 3, 2, 0, 1, 1, 0, 0, 0, 1, 3, 0, 2, 3, 2, 1, 0, 1, 2, 1, 2, 0, 2, 1, 2, 0]","[2, 3, 0, 2, 1, 0, 0, 1, 1, 2, 0, 2, 2, 1, 2, 1, 1, 1, 3, 2, 1, 0, 1, 5, 1, 0, 1, 2, 1, 1, 1, 2, 1, 0, 0, 2, 3, 1]"
Udinese,2025-26,14,16,8,45,1.1842105263157894,48,1.263157894736842,19,26,20,28,"[1, 2, 1, 0, 1, 1, 1, 3, 1, 1, 0, 0, 2, 1, 1, 1, 1, 0, 2, 2, 0, 3, 1, 1, 1, 0, 3, 2, 0, 2, 0, 3, 0, 3, 2, 2, 0, 0]","[1, 1, 0, 3, 3, 1, 1, 2, 3, 0, 2, 3, 0, 2, 0, 5, 1, 1, 1, 2, 1, 1, 0, 2, 2, 1, 0, 2, 1, 0, 0, 0, 1, 3, 0, 0, 1, 1]"
